"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"1","4.84","GOTERM_MF_DIRECT","growth factor activity","16","259","167","19319","5.90","7.35e-9","3.73e-6","7.15","3.73e-6","3.73e-6","9.40e-10","JAG2,TGFB2,GDF15,IL34,LIF,NRG1,NGF,GDF5,AGT,INHBE,VEGFA,CXCL12,IL12A,CCN3,FGF13,FGF10","GO:0008083~growth factor activity"
"1","4.84","GOTERM_MF_DIRECT","cytokine activity","14","259","202","19319","5.17","3.42e-6","8.70e-4","5.17","1.74e-3","8.70e-4","6.19e-7","TGFB2,TSLP,TNFSF15,GDF15,IL34,LIF,NRG1,TNFRSF11B,GDF5,INHBE,TNFSF13B,VEGFA,IL12A,WNT2","GO:0005125~cytokine activity"
"1","4.84","KEGG_PATHWAY","Cytokine-cytokine receptor interaction","14","150","298","9375","5.17","9.04e-4","4.05e-2","2.94","2.16e-1","3.51e-2","2.91e-4","TGFB2,TSLP,TNFSF15,GDF15,IL34,LIF,TNFRSF11B,NGF,GDF5,INHBE,TNFSF13B,CXCL12,ACKR4,IL12A","hsa04060:Cytokine-cytokine receptor interaction"
"1","4.84","WIKIPATHWAYS","Cytokine cytokine receptor interaction","13","160","258","9015","4.80","2.00e-3","1.60e-1","2.84","6.12e-1","1.55e-1","6.62e-4","TGFB2,TSLP,TNFSF15,GDF15,IL34,LIF,TNFRSF11B,NGF,GDF5,INHBE,TNFSF13B,CXCL12,ACKR4","WP5473:Cytokine cytokine receptor interaction"
"2","3.08","GOTERM_BP_DIRECT","axon guidance","14","256","200","19172","5.17","2.93e-6","5.07e-3","5.24","5.83e-3","5.02e-3","5.22e-7","EPHA5,PLEKHG4,TGFB2,SEMA3A,SEMA6D,ROBO1,KIAA1755,RPS6KA5,CXCL12,TUBB3,FLRT3,EPHB2,SCN1B,EPHB3","GO:0007411~axon guidance"
"2","3.08","KEGG_PATHWAY","Axon guidance","10","150","184","9375","3.69","2.63e-3","7.06e-2","3.40","5.07e-1","6.12e-2","7.24e-4","EPHA5,CXCL12,SEMA3A,SEMA6D,LRRC4,PIK3R3,EPHB2,PAK3,EPHB3,ROBO1","hsa04360:Axon guidance"
"2","3.08","REACTOME_PATHWAY","Nervous system development","18","179","570","11610","6.64","6.58e-3","2.96e-1","2.05","9.96e-1","2.90e-1","3.05e-3","EPHA5,SPTBN4,EGR2,SEMA3A,SEMA6D,PIK3R3,TUBA4A,DNM1,ROBO1,RPS6KA5,TUBA1A,CXCL12,TUBB3,FLRT3,EPHB2,PAK3,SCN1B,EPHB3","R-HSA-9675108~Nervous system development"
"2","3.08","REACTOME_PATHWAY","Axon guidance","17","179","545","11610","6.27","9.58e-3","3.31e-1","2.02","1.00e+0","3.25e-1","4.48e-3","EPHA5,SPTBN4,SEMA3A,SEMA6D,PIK3R3,TUBA4A,DNM1,ROBO1,RPS6KA5,TUBA1A,CXCL12,TUBB3,FLRT3,EPHB2,PAK3,SCN1B,EPHB3","R-HSA-422475~Axon guidance"
"3","2.64","KEGG_PATHWAY","Pathways in cancer","21","150","533","9375","7.75","2.83e-4","2.21e-2","2.46","7.32e-2","1.91e-2","1.10e-4","JAG2,TGFB2,CDKN2B,JUN,ADCY4,PIK3R3,ADCY1,PTGS2,ADCY8,AGT,VEGFA,RPS6KA5,CXCL12,GNG2,BDKRB2,BDKRB1,HMOX1,IL12A,WNT2,FGFR2,FGF10","hsa05200:Pathways in cancer"
"3","2.64","WIKIPATHWAYS","Cancer pathways","20","160","509","9015","7.38","1.53e-3","1.60e-1","2.21","5.16e-1","1.55e-1","6.58e-4","JAG2,TGFB2,CDKN2B,JUN,ADCY4,PIK3R3,ADCY1,PTGS2,ADCY8,AGT,VEGFA,RPS6KA5,CXCL12,GNG2,BDKRB2,BDKRB1,HMOX1,IL12A,WNT2,FGFR2","WP5434:Cancer pathways"
