"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"1","2.62","GOTERM_CC_DIRECT","extracellular matrix","31","332","475","20299","9.09","2.79e-10","9.62e-8","3.99","9.62e-8","9.51e-8","6.61e-11","FBN2,SERPINA3,SPON1,LAMA2,COL11A1,LAMA3,DPT,NID1,THBS1,ADAMTS5,ADAMTS1,CCN2,CCN1,TIMP4,CTSC,ANXA4,OMD,OTOGL,ANGPTL7,COL4A1,CRISPLD2,CILP,MMP15,COL4A4,COL7A1,COL4A3,SPARCL1,PTX3,HPSE,MFGE8,ANGPTL1","GO:0031012~extracellular matrix"
"1","2.62","GOTERM_MF_DIRECT","extracellular matrix structural constituent","15","322","133","19319","4.40","4.77e-8","3.06e-5","6.77","3.06e-5","3.06e-5","6.35e-9","FBN2,SPON1,LAMA2,COL11A1,LAMA3,DPT,NID1,THBS1,OTOGL,COL4A1,CILP,COL4A4,COL4A3,CCN1,MFGE8","GO:0005201~extracellular matrix structural constituent"
"1","2.62","KEGG_PATHWAY","Cytoskeleton in muscle cells","17","181","233","9375","4.99","9.90e-6","2.62e-3","3.78","2.62e-3","2.58e-3","2.44e-6","FBN2,SUN2,LAMA2,SYNPO2,COL11A1,LMOD1,NID1,THBS1,ACTG2,COL4A1,DAAM2,ITGA10,COL4A4,COL4A3,ITGA8,PDLIM5,MYOZ2","hsa04820:Cytoskeleton in muscle cells"
"1","2.62","REACTOME_PATHWAY","Laminin interactions","7","222","30","11610","2.05","1.80e-5","1.58e-2","12.20","1.57e-2","1.57e-2","1.19e-6","LAMA2,COL4A1,COL4A4,COL7A1,COL4A3,LAMA3,NID1","R-HSA-3000157~Laminin interactions"
"1","2.62","REACTOME_PATHWAY","Anchoring fibril formation","5","222","15","11610","1.47","1.48e-4","4.33e-2","17.43","1.22e-1","4.31e-2","6.28e-6","COL4A1,COL4A4,COL7A1,COL4A3,LAMA3","R-HSA-2214320~Anchoring fibril formation"
"1","2.62","REACTOME_PATHWAY","Non-integrin membrane-ECM interactions","9","222","81","11610","2.64","1.48e-4","4.33e-2","5.81","1.22e-1","4.31e-2","2.30e-5","ACTA2,LAMA2,COL4A1,COL11A1,COL4A4,COL4A3,LAMA3,THBS1,ACTG2","R-HSA-3000171~Non-integrin membrane-ECM interactions"
"1","2.62","KEGG_PATHWAY","Integrin signaling","12","181","154","9375","3.52","1.79e-4","2.37e-2","4.04","4.63e-2","2.34e-2","4.11e-5","CCND3,LAMA2,COL4A1,ITGA10,COL4A4,COL4A3,LAMA3,ITGA8,RAC3,PIK3R1,THBS1,LIMS2","hsa04518:Integrin signaling"
"1","2.62","KEGG_PATHWAY","ECM-receptor interaction","9","181","89","9375","2.64","2.97e-4","2.62e-2","5.24","7.56e-2","2.58e-2","5.15e-5","LAMA2,COL4A1,ITGA10,COL4A4,COL4A3,LAMA3,ITGA8,HMMR,THBS1","hsa04512:ECM-receptor interaction"
"1","2.62","REACTOME_PATHWAY","Degradation of the extracellular matrix","11","222","140","11610","3.23","3.39e-4","7.43e-2","4.11","2.57e-1","7.40e-2","7.62e-5","FBN2,ADAMTS5,COL4A1,MMP15,ADAMTS1,COL11A1,COL4A4,COL7A1,COL4A3,LAMA3,NID1","R-HSA-1474228~Degradation of the extracellular matrix"
"1","2.62","GOTERM_CC_DIRECT","basement membrane","9","332","106","20299","2.64","3.47e-4","3.99e-2","5.19","1.13e-1","3.94e-2","6.14e-5","ACTA2,LAMA2,COL4A1,ADAMTS1,COL4A4,COL7A1,COL4A3,LAMA3,NID1","GO:0005604~basement membrane"
